"Year Level","Qualification","Region","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate - Excellence Endorsement","Current Year Attainment Rate - Excellence Endorsement","Cumulative Year Attainment Rate - Merit Endorsement","Current Year Attainment Rate - Merit Endorsement","Cumulative Year Attainment Rate - No Endorsement","Current Year Attainment Rate - No Endorsement","Cumulative Year Attainment - Excellence Endorsement","Current Year Attainment - Excellence Endorsement","Cumulative Year Attainment - Merit Endorsement","Current Year Attainment - Merit Endorsement","Cumulative Year Attainment - No Endorsement","Current Year Attainment - No Endorsement","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","NCEA Level 1","Other","2020","1","0.453","0.468","0.268","0.281","0.279","0.251","81","80","48","48","50","43","179","171","1531",""
"11","NCEA Level 1","Other","2021","1","0.423","0.423","0.356","0.375","0.221","0.202","94","88","79","78","49","42","222","208","1806",""
"11","NCEA Level 1","Other","2022","1","0.31","0.335","0.296","0.316","0.394","0.35","70","69","67","65","89","72","226","206","2218",""
"11","NCEA Level 1","Other","2023","1","0.182","0.186","0.333","0.348","0.485","0.466","48","46","88","86","128","115","264","247","2460",""
"11","NCEA Level 1","Other","2024","1","0.167","0.178","0.324","0.33","0.51","0.492","35","34","68","63","107","94","210","191","2860",""
"11","NCEA Level 1","Southland","2015","1","0.187","0.188","0.311","0.312","0.503","0.501","177","177","295","294","477","472","949","943","1229",""
"11","NCEA Level 1","Southland","2016","1","0.165","0.168","0.312","0.312","0.523","0.52","172","172","324","320","544","533","1040","1025","1256",""
"11","NCEA Level 1","Southland","2017","1","0.172","0.173","0.329","0.33","0.499","0.497","172","172","330","329","500","495","1002","996","1227",""
"11","NCEA Level 1","Southland","2018","1","0.194","0.195","0.303","0.303","0.503","0.502","180","180","281","280","467","464","928","924","1155",""
"11","NCEA Level 1","Southland","2019","1","0.192","0.193","0.295","0.297","0.514","0.509","186","186","286","286","499","490","971","962","1248",""
"11","NCEA Level 1","Southland","2020","1","0.179","0.18","0.294","0.295","0.526","0.525","184","184","302","302","540","537","1026","1023","1283",""
"11","NCEA Level 1","Southland","2021","1","0.199","0.199","0.296","0.297","0.505","0.504","199","199","297","297","506","504","1002","1000","1268",""
"11","NCEA Level 1","Southland","2022","1","0.17","0.17","0.289","0.29","0.541","0.54","166","165","282","282","528","524","976","971","1262",""
"11","NCEA Level 1","Southland","2023","1","0.169","0.17","0.281","0.282","0.55","0.549","159","159","264","264","517","514","940","937","1335",""
"11","NCEA Level 1","Southland","2024","1","0.111","0.111","0.242","0.244","0.647","0.645","58","58","127","127","339","336","524","521","1366",""
"11","NCEA Level 1","Taranaki","2015","1","0.129","0.117","0.289","0.296","0.582","0.588","157","137","351","347","706","690","1214","1174","1579",""
"11","NCEA Level 1","Taranaki","2016","1","0.144","0.138","0.276","0.279","0.579","0.583","182","169","348","343","730","717","1260","1229","1518",""
"11","NCEA Level 1","Taranaki","2017","1","0.155","0.148","0.261","0.265","0.585","0.587","193","180","325","321","729","712","1247","1213","1499",""
"11","NCEA Level 1","Taranaki","2018","1","0.114","0.109","0.323","0.329","0.563","0.563","135","125","383","378","667","647","1185","1150","1495",""
"11","NCEA Level 1","Taranaki","2019","1","0.123","0.116","0.254","0.256","0.623","0.628","139","127","287","280","704","688","1130","1095","1455",""
"11","NCEA Level 1","Taranaki","2020","1","0.155","0.141","0.26","0.263","0.585","0.596","186","165","313","309","704","699","1203","1173","1474",""
"11","NCEA Level 1","Taranaki","2021","1","0.132","0.131","0.253","0.259","0.615","0.61","156","151","299","299","727","703","1182","1153","1572",""
"11","NCEA Level 1","Taranaki","2022","1","0.15","0.138","0.253","0.26","0.597","0.602","186","166","313","312","740","724","1239","1202","1661",""
"11","NCEA Level 1","Taranaki","2023","1","0.141","0.139","0.239","0.242","0.62","0.619","184","178","311","310","808","794","1303","1282","1706",""
"11","NCEA Level 1","Taranaki","2024","1","0.103","0.101","0.233","0.238","0.664","0.661","134","128","302","301","862","838","1298","1267","1835",""
"11","NCEA Level 1","Tasman","2015","1","0.133","0.133","0.354","0.355","0.513","0.512","57","57","152","152","220","219","429","428","554",""
"11","NCEA Level 1","Tasman","2016","1","0.18","0.18","0.328","0.329","0.492","0.491","79","79","144","144","216","215","439","438","521",""
"11","NCEA Level 1","Tasman","2017","1","0.161","0.162","0.362","0.362","0.477","0.476","72","72","162","161","213","212","447","445","560",""
"11","NCEA Level 1","Tasman","2018","1","0.123","0.123","0.369","0.37","0.508","0.507","53","53","159","159","219","218","431","430","548",""
"11","NCEA Level 1","Tasman","2019","1","0.141","0.142","0.354","0.354","0.505","0.505","60","60","151","150","215","214","426","424","583",""
"11","NCEA Level 1","Tasman","2020","1","0.132","0.133","0.317","0.319","0.55","0.549","63","63","151","151","262","260","476","474","588",""
"11","NCEA Level 1","Tasman","2021","1","0.131","0.131","0.324","0.324","0.545","0.545","56","56","139","139","234","234","429","429","569",""
"11","NCEA Level 1","Tasman","2022","1","0.148","0.15","0.359","0.362","0.493","0.488","64","64","155","155","213","209","432","428","601",""
"11","NCEA Level 1","Tasman","2023","1","0.153","0.153","0.279","0.28","0.568","0.567","63","63","115","115","234","233","412","411","579",""
"11","NCEA Level 1","Tasman","2024","1","0.064","0.065","0.303","0.305","0.633","0.63","24","24","113","113","236","233","373","370","614",""
"11","NCEA Level 1","Waikato","2015","1","0.147","0.145","0.294","0.295","0.559","0.56","641","622","1285","1265","2441","2401","4367","4288","5913",""
"11","NCEA Level 1","Waikato","2016","1","0.142","0.142","0.302","0.303","0.556","0.555","648","637","1374","1357","2531","2483","4553","4477","6030",""
"11","NCEA Level 1","Waikato","2017","1","0.154","0.153","0.297","0.299","0.548","0.547","671","659","1291","1285","2383","2350","4345","4294","5859",""
"11","NCEA Level 1","Waikato","2018","1","0.144","0.141","0.292","0.294","0.563","0.565","600","579","1214","1202","2339","2312","4153","4093","5965",""
"11","NCEA Level 1","Waikato","2019","1","0.143","0.142","0.298","0.3","0.559","0.559","598","587","1252","1243","2346","2315","4196","4145","6020",""
"11","NCEA Level 1","Waikato","2020","1","0.151","0.146","0.297","0.298","0.552","0.556","663","635","1305","1292","2423","2409","4391","4336","6185",""
"11","NCEA Level 1","Waikato","2021","1","0.165","0.164","0.276","0.278","0.559","0.558","733","716","1227","1213","2485","2433","4445","4362","6352",""
"11","NCEA Level 1","Waikato","2022","1","0.14","0.14","0.288","0.293","0.571","0.567","601","585","1235","1226","2445","2369","4281","4180","6494",""
"11","NCEA Level 1","Waikato","2023","1","0.118","0.12","0.275","0.277","0.607","0.603","514","514","1192","1191","2633","2591","4339","4296","6954",""
"11","NCEA Level 1","Waikato","2024","1","0.071","0.071","0.215","0.218","0.714","0.711","231","223","696","685","2312","2229","3239","3137","7074",""
"11","NCEA Level 1","Wellington","2015","1","0.213","0.213","0.349","0.35","0.438","0.437","1074","1068","1759","1757","2210","2196","5043","5021","6216",""
"11","NCEA Level 1","Wellington","2016","1","0.217","0.217","0.362","0.363","0.421","0.42","1119","1114","1868","1863","2172","2153","5159","5130","6200",""
"11","NCEA Level 1","Wellington","2017","1","0.215","0.215","0.358","0.359","0.427","0.426","1077","1075","1796","1791","2140","2125","5013","4991","6126",""
"11","NCEA Level 1","Wellington","2018","1","0.237","0.238","0.363","0.363","0.4","0.399","1143","1140","1750","1738","1925","1910","4818","4788","6067",""
"11","NCEA Level 1","Wellington","2019","1","0.23","0.23","0.368","0.369","0.402","0.4","1117","1113","1790","1784","1956","1934","4863","4831","6274",""
"11","NCEA Level 1","Wellington","2020","1","0.237","0.237","0.351","0.352","0.412","0.411","1151","1143","1705","1697","1998","1985","4854","4825","6208",""
"11","NCEA Level 1","Wellington","2021","1","0.216","0.216","0.366","0.367","0.418","0.417","1055","1046","1792","1782","2046","2024","4893","4852","6236",""
"11","NCEA Level 1","Wellington","2022","1","0.227","0.228","0.346","0.346","0.428","0.427","1119","1116","1707","1693","2111","2089","4937","4898","6504",""
"11","NCEA Level 1","Wellington","2023","1","0.187","0.188","0.36","0.361","0.453","0.451","905","901","1744","1735","2191","2166","4840","4802","6633",""
"11","NCEA Level 1","Wellington","2024","1","0.134","0.134","0.294","0.294","0.572","0.572","421","416","921","913","1791","1774","3133","3103","6733",""
"11","NCEA Level 1","West Coast","2015","1","0.036","0.036","0.237","0.241","0.728","0.723","8","8","53","53","163","159","224","220","319",""
"11","NCEA Level 1","West Coast","2016","1","0.046","0.048","0.221","0.231","0.733","0.721","12","12","58","58","192","181","262","251","374",""
"11","NCEA Level 1","West Coast","2017","1","0.057","0.059","0.282","0.288","0.661","0.653","13","13","64","64","150","145","227","222","337",""
"11","NCEA Level 1","West Coast","2018","1","0.117","0.119","0.243","0.249","0.641","0.632","24","24","50","50","132","127","206","201","319",""
"11","NCEA Level 1","West Coast","2019","1","0.08","0.08","0.225","0.225","0.695","0.695","16","16","45","45","139","139","200","200","299",""
"11","NCEA Level 1","West Coast","2020","1","0.104","0.11","0.192","0.203","0.704","0.687","25","25","46","46","169","156","240","227","334",""
"11","NCEA Level 1","West Coast","2021","1","0.12","0.123","0.174","0.179","0.707","0.698","29","29","42","42","171","164","242","235","356",""
"11","NCEA Level 1","West Coast","2022","1","0.105","0.107","0.231","0.231","0.664","0.662","24","24","53","52","152","149","229","225","319",""
"11","NCEA Level 1","West Coast","2023","1","0.071","0.072","0.179","0.179","0.75","0.749","18","18","45","45","189","188","252","251","364",""
"11","NCEA Level 1","West Coast","2024","1","0.038","0.038","0.142","0.144","0.82","0.818","9","9","34","34","196","193","239","236","361",""
"11","NCEA Level 2","Auckland","2015","0","0.234","0.241","0.076","0.072","0.69","0.687","40","40","13","12","118","114","171","166","20374",""
"11","NCEA Level 2","Auckland","2016","0","0.254","0.254","0.09","0.092","0.656","0.654","48","47","17","17","124","121","189","185","20359",""
"11","NCEA Level 2","Auckland","2017","0","0.27","0.274","0.156","0.157","0.574","0.57","64","63","37","36","136","131","237","230","19628",""
"11","NCEA Level 2","Auckland","2018","0","0.333","0.343","0.328","0.325","0.339","0.331","58","58","57","55","59","56","174","169","19949",""
"11","NCEA Level 2","Auckland","2019","0","0.304","0.303","0.367","0.379","0.329","0.317","48","44","58","55","52","46","158","145","20162",""
"11","NCEA Level 2","Auckland","2020","0","0.216","0.213","0.286","0.269","0.498","0.519","50","46","66","58","115","112","231","216","20215",""
"11","NCEA Level 2","Auckland","2021","0","0.349","0.358","0.272","0.274","0.379","0.367","81","81","63","62","88","83","232","226","20526",""
"11","NCEA Level 2","Auckland","2022","0","0.348","0.371","0.199","0.206","0.453","0.424","63","63","36","35","82","72","181","170","21537",""
"11","NCEA Level 2","Auckland","2023","0","0.217","0.232","0.276","0.289","0.507","0.479","33","33","42","41","77","68","152","142","22920",""
"11","NCEA Level 2","Auckland","2024","0","0.371","0.371","0.312","0.317","0.317","0.312","76","75","64","64","65","63","205","202","23264",""
"11","NCEA Level 2","Bay of Plenty","2015","0","0.119","0.121","0.111","0.113","0.77","0.766","15","15","14","14","97","95","126","124","4089",""
"11","NCEA Level 2","Bay of Plenty","2016","0","0.263","0.265","0.088","0.088","0.65","0.647","36","36","12","12","89","88","137","136","4053",""
"11","NCEA Level 2","Bay of Plenty","2017","0","0.207","0.207","0.085","0.085","0.707","0.707","34","34","14","14","116","116","164","164","3990",""
"11","NCEA Level 2","Bay of Plenty","2018","0","0.185","0.194","0.238","0.25","0.577","0.556","24","24","31","31","75","69","130","124","3929",""
"11","NCEA Level 2","Bay of Plenty","2019","0","0.213","0.236","0.34","0.378","0.447","0.386","30","30","48","48","63","49","141","127","4033",""
"11","NCEA Level 2","Bay of Plenty","2020","0","0.133","0.13","0.261","0.265","0.606","0.605","25","24","49","49","114","112","188","185","4152",""
"11","NCEA Level 2","Bay of Plenty","2021","0","0.071","0.069","0.251","0.254","0.678","0.676","13","12","46","44","124","117","183","173","4234",""
"11","NCEA Level 2","Bay of Plenty","2022","0","0.199","0.215","0.211","0.221","0.59","0.564","32","32","34","33","95","84","161","149","4371",""
"11","NCEA Level 2","Bay of Plenty","2023","0","0.168","0.169","0.267","0.269","0.565","0.563","27","27","43","43","91","90","161","160","4474",""
"11","NCEA Level 2","Bay of Plenty","2024","0","0.156","0.162","0.319","0.342","0.525","0.496","22","19","45","40","74","58","141","117","4552",""
